project_name,place,lat,lon,area_wide
Transforming Ellesmere Port Town Centre,Ellesmere Port,53.278935,-2.902251,false
Workington Gateway,Workington,54.643380,-3.545353,false
Barrow-in-Furness Town Centre,Barrow-in-Furness,54.128880,-3.226901,false
Industrial Solutions Hub (iSH) Enterprise Campus,"Whitehaven, Cumbria",54.543073,-3.597874,false
Energy Coast Resilient Routes,"Workington, Cumbria",54.606033,-3.532187,true
Bolton College of Medical Science (Development),Bolton,53.578286,-2.430037,false
Radcliffe (Civic and Enterprise Hub Development),"Radcliffe, Greater Manchester",53.559338,-2.326155,false
BuryMarket FlexiHall,"Bury, Greater Manchester",53.592754,-2.297283,false
The Culture in the City project,Manchester,53.479489,-2.245115,false
Green Technology and Innovation Network,Oldham,53.541580,-2.114783,false
Salford Rise (Innovation Zone),Salford,53.487746,-2.289192,false
Ashton (Town Centre Regeneration),Ashton-under-Lyne,53.486541,-2.098691,false
The Redevelopment of Partington Sports Village,"Partington, Greater Manchester",53.417669,-2.429767,false
Haigh Hall,"Haigh Hall, Wigan",53.571761,-2.609148,false
Blackburn Growth Axis Transport Package (Southeast),Blackburn,53.749326,-2.484057,false
Multiversity,Blackpool,53.817944,-3.050981,false
Burnley Campus Expansion;  Turf Public Realm Transformation; Railway Station Accessibility Improvements (package),Burnley,53.790726,-2.243920,false
The Accrington Acre: Our Heritage-Led Town Centre,Accrington,53.754116,-2.365543,false
"Levelling Up East Lancashire: Creating opportunities through greener, safer and healthier travel","Burnley, Lancashire",53.790726,-2.243920,true
Eden Project North,Morecambe,54.072108,-2.865094,false
Colne Town Centre (Investment),"Colne, Lancashire",53.856773,-2.169124,false
Active Preston: Transforming Our Community Infrastructure,Preston,53.759336,-2.699272,false
Halewood Leisure and Connectivity Improvements,"Halewood, Merseyside",53.360234,-2.830266,false
Liverpool City Council Docks Cultural Regeneration,"Royal Albert Dock, Liverpool",53.400089,-2.992473,false
Levelling Up for Recovery (Transport Infrastructure Improvements),Liverpool,53.393341,-2.916639,true
"Earlestown: Regeneration through Culture, Community and Heritage","Earlestown, Merseyside",53.451218,-2.637615,false
Woodside (Woodside WaterFront Visitor and Gyratory Reconfiguration),"Woodside, Birkenhead",53.395539,-3.008567,false
