council,project_name,region,round,amount_gbp,source_url
Cheshire West and Chester Council,Transforming Ellesmere Port Town Centre,Cheshire,2,13378478,https://www.gov.uk/government/publications/levelling-up-fund-round-2-successful-bidders
Allerdale Borough Council,Workington Gateway,Cumbria,2,9586777,https://www.gov.uk/government/publications/levelling-up-fund-round-2-successful-bidders
Barrow-in-Furness,Barrow-in-Furness Town Centre,Cumbria,1,15992485,https://www.gov.uk/government/publications/levelling-up-fund-first-round-successful-bidders
Copeland Borough Council,Industrial Solutions Hub (iSH) Enterprise Campus,Cumbria,2,20000000,https://www.gov.uk/government/publications/levelling-up-fund-round-2-successful-bidders
Cumbria County Council,Energy Coast Resilient Routes,Cumbria,2,17826697,https://www.gov.uk/government/publications/levelling-up-fund-round-2-successful-bidders
Bolton,Bolton College of Medical Science (Development),Greater Manchester,1,20000000,https://www.gov.uk/government/publications/levelling-up-fund-first-round-successful-bidders
Bury,Radcliffe (Civic and Enterprise Hub Development),Greater Manchester,1,20000000,https://www.gov.uk/government/publications/levelling-up-fund-first-round-successful-bidders
Bury,BuryMarket FlexiHall,Greater Manchester,1,20000000,https://www.gov.uk/government/publications/levelling-up-fund-first-round-successful-bidders
Manchester,The Culture in the City project,Greater Manchester,1,19823516,https://www.gov.uk/government/publications/levelling-up-fund-first-round-successful-bidders
Oldham Metropolitan Borough Council,Green Technology and Innovation Network,Greater Manchester,2,20000000,https://www.gov.uk/government/publications/levelling-up-fund-round-2-successful-bidders
Salford,Salford Rise (Innovation Zone),Greater Manchester,1,13170933,https://www.gov.uk/government/publications/levelling-up-fund-first-round-successful-bidders
Tameside,Ashton (Town Centre Regeneration),Greater Manchester,1,19870000,https://www.gov.uk/government/publications/levelling-up-fund-first-round-successful-bidders
Trafford Borough Council,The Redevelopment of Partington Sports Village,Greater Manchester,2,18276313,https://www.gov.uk/government/publications/levelling-up-fund-round-2-successful-bidders
Wigan Council,Haigh Hall,Greater Manchester,2,20000000,https://www.gov.uk/government/publications/levelling-up-fund-round-2-successful-bidders
Blackburn with Darwen Borough Council,Blackburn Growth Axis Transport Package (Southeast),Lancashire,2,20000000,https://www.gov.uk/government/publications/levelling-up-fund-round-2-successful-bidders
Blackpool Borough Council,Multiversity,Lancashire,2,40000000,https://www.gov.uk/government/publications/levelling-up-fund-round-2-successful-bidders
Burnley,Burnley Campus Expansion;  Turf Public Realm Transformation; Railway Station Accessibility Improvements (package),Lancashire,1,19900000,https://www.gov.uk/government/publications/levelling-up-fund-first-round-successful-bidders
Hyndburn Borough Council,The Accrington Acre: Our Heritage-Led Town Centre,Lancashire,2,20000000,https://www.gov.uk/government/publications/levelling-up-fund-round-2-successful-bidders
Lancashire County Council,"Levelling Up East Lancashire: Creating opportunities through greener, safer and healthier travel",Lancashire,2,49602741,https://www.gov.uk/government/publications/levelling-up-fund-round-2-successful-bidders
Lancaster City Council,Eden Project North,Lancashire,2,50000000,https://www.gov.uk/government/publications/levelling-up-fund-round-2-successful-bidders
Pendle,Colne Town Centre (Investment),Lancashire,1,6531565,https://www.gov.uk/government/publications/levelling-up-fund-first-round-successful-bidders
Preston City Council,Active Preston: Transforming Our Community Infrastructure,Lancashire,2,20000000,https://www.gov.uk/government/publications/levelling-up-fund-round-2-successful-bidders
Knowsley Metropolitan Borough Council,Halewood Leisure and Connectivity Improvements,Merseyside,2,15356140,https://www.gov.uk/government/publications/levelling-up-fund-round-2-successful-bidders
Liverpool,Liverpool City Council Docks Cultural Regeneration,Merseyside,1,20000000,https://www.gov.uk/government/publications/levelling-up-fund-first-round-successful-bidders
Liverpool City Region,Levelling Up for Recovery (Transport Infrastructure Improvements),Merseyside,1,37520000,https://www.gov.uk/government/publications/levelling-up-fund-first-round-successful-bidders
St Helens Borough Council,"Earlestown: Regeneration through Culture, Community and Heritage",Merseyside,2,20000000,https://www.gov.uk/government/publications/levelling-up-fund-round-2-successful-bidders
Wirral,Woodside (Woodside WaterFront Visitor and Gyratory Reconfiguration),Merseyside,1,19648873,https://www.gov.uk/government/publications/levelling-up-fund-first-round-successful-bidders
